ABCG1,ABI1,ACBD5,ACBD7,ADAMTS1,ADAMTS5,ADARB1,AGPAT3,AIRE,ANKRD26,APBB1IP,APP,ARHGAP21,ARHGAP8,ARL5B,ARMC3,ARMC4,ATP5J,B3GALT5,BACE2,BACH1,BACH1-IT2,BAMBI,BEND7,BMI1,BRWD1,BRWD1-AS1,BRWD1-IT2,BTG3,C10orf111,C10orf113,C10orf126,C10orf67,C1QL3,C21orf140,C21orf2,C21orf33,C21orf58,C21orf91,C21orf91-OT1,C2CD2,C8orf22,CACNB2,CAMK1D,CASC10,CBR1,CBR3,CBR3-AS1,CBS,CCDC3,CCT8,CDC123,CDNF,CEBPD,CELF2,CELF2-AS1,CELF2-AS2,CELSR1,CHAF1B,CHCHD7,CHODL,CHODL-AS1,CLDN14,CLDN17,CLDN8,CLIC6,COL18A1,COL18A1-AS1,COL18A1-AS2,COL6A1,COL6A2,COMMD3,COMMD3-BMI1,CRYAA,CSTB,CUBN,CXADR,CYP7A1,CYYR1,DCLRE1C,DDX12P,DHTKD1,DIP2A,DIP2A-IT1,DNAJC1,DNMT3L,DOPEY2,DSCAM,DSCAM-AS1,DSCAM-IT1,DSCR10,DSCR3,DSCR4,DSCR8,DSCR9,DYRK1A,EBLN1,ECHDC3,EFCAB1,EFCAB6,EFCAB6-AS1,ERG,ERVH48-1,ETS2,FAM107B,FAM118A,FAM171A1,FAM188A,FAM207A,FAM3B,FBLN1,FRMD4A,FTCD,GABPA,GAD2,GRAMD4,GRIK1,GRIK1-AS1,GRIK1-AS2,HLCS,HMGN1,HSF2BP,HSPA14,ICOSLG,IGSF5,ITGA8,ITGB2,ITGB2-AS1,JAM2,KCNE1,KCNE2,KCNJ15,KCNJ6,KIAA0930,KIAA1217,KIAA1462,KIAA1644,KLRB1,KRTAP10-1,KRTAP10-10,KRTAP10-11,KRTAP10-12,KRTAP10-2,KRTAP10-3,KRTAP10-4,KRTAP10-5,KRTAP10-6,KRTAP10-7,KRTAP10-8,KRTAP10-9,KRTAP11-1,KRTAP12-1,KRTAP12-2,KRTAP12-3,KRTAP12-4,KRTAP13-1,KRTAP13-2,KRTAP13-3,KRTAP13-4,KRTAP15-1,KRTAP19-1,KRTAP19-2,KRTAP19-3,KRTAP19-4,KRTAP19-5,KRTAP19-6,KRTAP19-7,KRTAP19-8,KRTAP20-1,KRTAP20-2,KRTAP20-3,KRTAP20-4,KRTAP21-1,KRTAP21-2,KRTAP21-3,KRTAP22-1,KRTAP22-2,KRTAP23-1,KRTAP24-1,KRTAP25-1,KRTAP26-1,KRTAP27-1,KRTAP6-1,KRTAP6-2,KRTAP6-3,KRTAP7-1,KRTAP8-1,LCA5L,LDOC1L,LINC00111,LINC00112,LINC00113,LINC00114,LINC00158,LINC00160,LINC00162,LINC00163,LINC00189,LINC00202-1,LINC00202-2,LINC00207,LINC00229,LINC00264,LINC00293,LINC00307,LINC00308,LINC00313,LINC00314,LINC00316,LINC00317,LINC00319,LINC00320,LINC00322,LINC00323,LINC00479,LINC00515,LINC00588,LINC00708,LINC00709,LINC00710,LINC00837,LINC00968,LRRC3,LRRC3-AS1,LRRC37A6P,LSS,LYZL1,MALRD1,MAP3K7CL,MASTL,MCM10,MCM3AP,MCM3AP-AS1,MCM4,MEIG1,MIR1249,MIR1254-2,MIR125B2,MIR1265,MIR155HG,MIR1915,MIR3197,MIR4293,MIR4327,MIR4480,MIR4675,MIR4759,MIR4760,MIR548AK,MIR548Q,MIR548X,MIR5692B,MIR603,MIR604,MIR802,MIR938,MIR99A,MIRLET7C,MKX,MLLT10,MORC3,MPP7,MPPED1,MRC1,MRPL39,MSRB2,MX1,MX2,NCAM2,NDUFV3,NEBL,NEBL-AS1,NMT2,NRIP1,NSMAF,NSUN6,NUDT5,NUP50,OLAH,OPTN,OTUD1,PARVB,PARVG,PCBP3,PCNT,PCP4,PDE9A,PDSS1,PDXK,PENK,PFKL,PHF21B,PHYH,PIGP,PIP4K2A,PKNOX1,PLAC4,PLXDC2,PNPLA3,PNPLA5,POFUT2,PPIAP30,PRB1,PRB4,PRDM15,PRKDC,PRMT2,PROSER2,PROSER2-AS1,PRPF18,PRR5,PRR5-ARHGAP8,PSMG1,PTCHD3,PTER,PTF1A,PTTG1IP,PWP2,RAB18,RCAN1,RIBC2,RIPK4,RIPPLY3,RPP38,RRP1,RRP1B,RSPH1,RSU1,RUNX1,RWDD2B,S100B,SAMM50,SAMSN1,SAMSN1-AS1,SDCBP,SEC61A2,SEPHS1,SETD4,SFTA1P,SH3BGR,SIK1,SIM2,SKIDA1,SLC19A1,SLC37A1,SLC39A12,SLC39A12-AS1,SLC5A3,SMC1B,SNAI2,SPAG6,SPATC1L,SPIDR,SSR4P1,ST8SIA6,ST8SIA6-AS1,STAM,SULT4A1,SUMO3,SUV39H2,SVIL,TFF1,TFF2,TFF3,TGS1,TIAM1,TMEM236,TMEM68,TMPRSS15,TMPRSS2,TMPRSS3,TRAPPC10,TRDMT1,TRMU,TRPM2,TSPEAR,TSPEAR-AS1,TTC3,U2AF1,UBASH3A,UBE2G2,UBE2V2,UCMA,UMODL1,UPF2,UPK3A,USP16,USP25,USP6NL,VIM,VIM-AS1,WAC,WAC-AS1,WDR4,WRB,XKR4,YBEY,YME1L1,ZBTB21,ZNF295-AS1,event,group
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,train
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,6,4,3,4,6,4,4,4,4,4,6,4,6,6,3,6,6,6,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,4,6,3,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,4,4,4,4,4,6,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4,4,6,4,4,3,6,4,4,4,6,4,4,4,6,4,6,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,4,3,6,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,3,3,4,3,4,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6,4,6,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,3,6,4,6,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,0,val
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,0,test
2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,train
4,3,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,5,3,3,3,4,4,4,4,3,4,3,3,5,5,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,5,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,5,3,3,4,4,4,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,5,4,4,3,4,3,3,4,3,3,4,4,5,3,3,3,4,3,4,3,4,3,4,3,3,4,4,3,3,4,4,3,3,4,3,4,4,3,3,4,3,3,3,4,3,4,4,4,4,3,3,3,4,5,3,3,3,3,3,3,3,3,4,4,4,4,3,4,5,4,3,3,4,3,4,4,3,3,3,4,3,4,4,4,5,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,5,3,3,4,5,4,4,4,3,4,4,3,3,4,3,5,3,4,5,4,3,3,3,3,4,3,3,4,4,4,5,4,3,5,4,4,4,4,3,3,4,4,4,4,4,4,4,5,3,4,3,3,4,4,5,3,3,3,3,4,4,5,4,3,4,4,1,train
3,4,4,4,6,6,3,3,3,4,4,6,4,5,4,4,4,6,4,4,6,6,4,4,4,4,4,4,6,4,4,4,4,4,3,3,3,3,6,6,4,3,4,4,4,3,3,3,3,4,6,4,4,3,4,4,4,5,3,3,6,6,3,6,6,3,3,3,3,3,3,4,4,3,3,4,6,4,6,4,3,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,5,5,4,3,4,4,5,4,4,3,4,5,4,3,6,4,5,6,6,6,3,4,3,4,3,4,4,3,3,6,3,3,4,4,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,4,6,4,6,3,3,3,6,4,4,5,5,4,3,6,6,3,6,3,6,3,6,3,4,4,6,4,4,4,4,4,3,3,3,4,3,4,4,6,4,4,3,3,3,4,5,4,6,4,6,4,4,4,6,4,4,6,4,4,4,6,3,4,4,3,4,6,6,4,4,3,4,5,4,6,4,4,4,6,3,4,4,4,6,4,4,4,5,4,4,4,5,5,3,3,4,3,4,3,3,3,5,4,3,4,3,4,4,5,5,3,4,3,3,4,3,3,4,4,4,5,5,4,4,4,4,3,3,4,3,5,4,3,4,3,3,3,4,3,6,3,5,6,6,4,4,4,3,4,4,3,3,4,3,3,4,4,3,5,3,4,3,3,3,4,4,4,5,3,4,4,3,3,3,3,3,4,3,6,4,3,3,4,5,3,3,3,3,3,3,3,3,4,4,4,5,6,6,4,4,4,4,4,3,4,3,3,4,4,4,0,train
4,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,3,3,4,3,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,4,3,3,3,4,4,3,5,3,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,4,3,4,4,3,3,4,3,4,3,3,3,4,4,4,4,3,3,3,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,4,4,3,4,5,4,3,3,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,3,3,3,4,4,4,4,3,4,4,1,train
4,5,5,5,3,3,4,4,4,5,5,3,5,3,5,5,5,3,4,4,3,3,5,5,5,4,4,4,3,5,5,5,5,5,3,4,4,4,3,3,4,3,5,5,5,4,4,4,4,5,3,5,5,3,5,5,5,3,4,3,3,3,4,3,3,3,4,4,4,4,4,5,5,4,4,5,3,3,3,5,6,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,4,4,4,5,3,5,5,4,4,3,5,4,3,5,3,3,3,3,4,4,4,5,4,4,5,4,4,3,3,3,4,4,3,5,5,3,6,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,3,5,5,3,3,5,3,3,3,4,3,4,3,4,3,4,4,4,3,3,5,5,5,5,3,4,4,5,4,5,5,3,5,5,4,4,3,5,3,5,3,5,3,5,4,5,3,5,5,3,4,5,5,3,4,5,5,4,5,3,3,5,5,4,5,3,5,3,5,4,4,3,4,5,5,5,3,3,5,5,3,5,5,5,3,3,4,4,4,4,5,4,3,4,3,5,4,5,4,4,5,3,3,4,5,6,6,4,3,4,5,5,5,3,3,4,5,5,5,4,4,5,3,3,4,4,5,4,4,4,5,3,3,4,3,3,3,3,5,5,4,5,4,4,4,5,4,4,5,5,3,3,3,5,4,3,4,5,5,5,3,4,5,5,4,4,4,3,3,5,3,3,4,4,4,5,3,4,4,4,4,4,4,4,3,5,4,5,3,3,3,5,5,5,5,5,4,4,3,4,5,4,4,0,train
4,5,5,6,4,4,5,5,5,5,5,4,5,4,6,5,5,4,4,4,4,4,5,6,5,4,4,4,4,6,5,5,5,6,4,5,5,5,4,4,4,6,6,6,5,4,4,4,5,6,4,6,6,5,6,6,6,4,4,6,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,4,6,4,6,5,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,6,6,4,4,4,5,4,6,4,6,6,5,4,4,6,5,4,5,4,4,4,4,4,4,5,6,5,4,6,5,5,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,4,5,4,5,4,5,4,4,4,6,6,6,6,5,6,5,5,5,5,5,6,4,5,6,5,5,5,6,4,5,4,6,4,5,4,6,4,6,6,4,4,6,6,4,5,5,5,4,5,4,4,5,5,4,5,4,6,4,5,4,4,4,5,5,5,6,4,6,6,6,4,6,6,5,4,4,5,5,4,5,5,5,6,5,4,6,4,5,5,4,6,4,4,5,6,5,5,4,5,5,6,6,6,4,4,4,5,6,5,5,5,5,4,4,4,4,6,5,5,4,6,4,4,5,4,4,4,6,6,6,4,6,4,5,4,5,5,4,6,6,4,4,6,5,5,5,5,6,6,6,4,5,6,5,4,4,4,6,4,6,6,4,4,4,5,6,4,5,5,5,4,5,4,5,5,6,4,6,4,4,4,6,6,6,5,5,5,4,6,5,5,4,4,1,train
3,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,3,4,4,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3,4,4,4,3,4,3,3,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,3,3,3,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,3,3,3,4,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,3,3,4,3,4,3,3,0,train
3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,train
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,train
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,5,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,0,train
4,3,3,3,4,4,4,4,4,3,3,4,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,5,4,3,3,3,3,3,4,3,3,3,3,5,4,4,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,5,3,3,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,5,4,4,3,4,3,4,3,3,3,4,4,5,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,4,3,4,4,3,3,3,3,3,4,4,3,4,4,4,4,3,3,3,4,5,4,3,3,3,3,3,3,3,4,4,4,4,3,4,5,4,3,3,4,3,4,4,4,3,3,4,3,3,3,4,5,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,4,4,3,4,4,4,3,3,3,4,3,4,4,5,3,3,3,4,3,4,4,3,4,4,4,4,4,3,5,3,4,5,4,4,4,4,3,4,3,3,4,4,4,5,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,5,3,4,3,3,3,4,3,4,4,3,3,4,3,5,4,3,4,4,0,val
